brand,mileage_band,age_band,price
lada,100k-150k,16-20,1150.0
lada,100k-150k,21-40,1718.0
lada,100k-150k,40+,750.0
lada,150k+,0-5,
lada,150k+,6-10,2240.0
lada,150k+,11-15,2490.0
lada,150k+,16-20,1800.0
lada,150k+,21-40,1742.0
lada,150k+,40+,
lancia,0-50k,0-5,20423.0
lancia,0-50k,6-10,6350.0
lancia,0-50k,11-15,1747.0
lancia,0-50k,16-20,2050.0
lancia,0-50k,21-40,6618.0
lancia,0-50k,40+,13495.0
lancia,50k-100k,0-5,10445.0
lancia,50k-100k,6-10,5914.0
lancia,50k-100k,11-15,2287.0
lancia,50k-100k,16-20,1022.0
lancia,50k-100k,21-40,11908.0
lancia,50k-100k,40+,10028.0
lancia,100k-150k,0-5,9900.0
lancia,100k-150k,6-10,4099.0
lancia,100k-150k,11-15,2397.0
lancia,100k-150k,16-20,990.0
lancia,100k-150k,21-40,8412.0
lancia,100k-150k,40+,5445.0
lancia,150k+,0-5,13500.0
lancia,150k+,6-10,5317.0
lancia,150k+,11-15,1358.0
lancia,150k+,16-20,782.0
lancia,150k+,21-40,5905.0
lancia,150k+,40+,8999.0
land_rover,0-50k,0-5,41206.0
land_rover,0-50k,6-10,27520.0
land_rover,0-50k,11-15,21300.0
land_rover,0-50k,16-20,1750.0
land_rover,0-50k,21-40,8634.0
land_rover,0-50k,40+,13785.0
land_rover,50k-100k,0-5,34483.0
land_rover,50k-100k,6-10,26844.0
land_rover,50k-100k,11-15,12021.0
land_rover,50k-100k,16-20,13788.0
land_rover,50k-100k,21-40,11156.0
land_rover,50k-100k,40+,11439.0
land_rover,100k-150k,0-5,30156.0
land_rover,100k-150k,6-10,19337.0
land_rover,100k-150k,11-15,11598.0
land_rover,100k-150k,16-20,2590.0
land_rover,100k-150k,21-40,4000.0
land_rover,100k-150k,40+,
land_rover,150k+,0-5,28728.0
land_rover,150k+,6-10,15171.0
land_rover,150k+,11-15,7639.0
land_rover,150k+,16-20,4863.0
land_rover,150k+,21-40,8156.0
land_rover,150k+,40+,9980.0
mazda,0-50k,0-5,17349.0
mazda,0-50k,6-10,9601.0
mazda,0-50k,11-15,4525.0
mazda,0-50k,16-20,2230.0
mazda,0-50k,21-40,4636.0
mazda,0-50k,40+,
mazda,50k-100k,0-5,14280.0
mazda,50k-100k,6-10,8599.0
mazda,50k-100k,11-15,4456.0
mazda,50k-100k,16-20,2532.0
mazda,50k-100k,21-40,3076.0
mazda,50k-100k,40+,1750.0
mazda,100k-150k,0-5,12849.0
mazda,100k-150k,6-10,7201.0
mazda,100k-150k,11-15,3148.0
mazda,100k-150k,16-20,1770.0
mazda,100k-150k,21-40,2344.0
mazda,100k-150k,40+,
mazda,150k+,0-5,8752.0
mazda,150k+,6-10,5346.0
mazda,150k+,11-15,2295.0
mazda,150k+,16-20,1204.0
mazda,150k+,21-40,1468.0
mazda,150k+,40+,2200.0
mercedes_benz,0-50k,0-5,27882.0
mercedes_benz,0-50k,6-10,16176.0
mercedes_benz,0-50k,11-15,9020.0
mercedes_benz,0-50k,16-20,3519.0
mercedes_benz,0-50k,21-40,10467.0
mercedes_benz,0-50k,40+,21274.0
mercedes_benz,50k-100k,0-5,25448.0
mercedes_benz,50k-100k,6-10,15810.0
mercedes_benz,50k-100k,11-15,9502.0
mercedes_benz,50k-100k,16-20,5695.0
mercedes_benz,50k-100k,21-40,11008.0
mercedes_benz,50k-100k,40+,16963.0
mercedes_benz,100k-150k,0-5,22660.0
mercedes_benz,100k-150k,6-10,14450.0
mercedes_benz,100k-150k,11-15,7235.0
mercedes_benz,100k-150k,16-20,4352.0
mercedes_benz,100k-150k,21-40,7145.0
mercedes_benz,100k-150k,40+,27656.0
mercedes_benz,150k+,0-5,18893.0
mercedes_benz,150k+,6-10,11904.0
mercedes_benz,150k+,11-15,5242.0
mercedes_benz,150k+,16-20,2463.0
mercedes_benz,150k+,21-40,3995.0
mercedes_benz,150k+,40+,14109.0
mini,0-50k,0-5,17916.0
mini,0-50k,6-10,12220.0
mini,0-50k,11-15,6816.0
mini,0-50k,16-20,11608.0
mini,0-50k,21-40,7376.0
mini,0-50k,40+,14110.0
mini,50k-100k,0-5,15392.0
mini,50k-100k,6-10,10053.0
mini,50k-100k,11-15,6490.0
mini,50k-100k,16-20,10220.0
mini,50k-100k,21-40,4806.0
mini,50k-100k,40+,8874.0
mini,100k-150k,0-5,13118.0
mini,100k-150k,6-10,8478.0
mini,100k-150k,11-15,5547.0
mini,100k-150k,16-20,8090.0
mini,100k-150k,21-40,3185.0
mini,100k-150k,40+,
mini,150k+,0-5,14798.0
mini,150k+,6-10,7484.0
mini,150k+,11-15,4506.0
mini,150k+,16-20,18000.0
mini,150k+,21-40,2338.0
mini,150k+,40+,21500.0
mitsubishi,0-50k,0-5,12441.0
mitsubishi,0-50k,6-10,9549.0
mitsubishi,0-50k,11-15,2851.0
mitsubishi,0-50k,16-20,1378.0
mitsubishi,0-50k,21-40,5345.0
mitsubishi,0-50k,40+,
mitsubishi,50k-100k,0-5,13512.0
mitsubishi,50k-100k,6-10,6581.0
mitsubishi,50k-100k,11-15,3850.0
mitsubishi,50k-100k,16-20,2493.0
mitsubishi,50k-100k,21-40,1322.0
mitsubishi,50k-100k,40+,
mitsubishi,100k-150k,0-5,13560.0
mitsubishi,100k-150k,6-10,6434.0
mitsubishi,100k-150k,11-15,3434.0
mitsubishi,100k-150k,16-20,1992.0
mitsubishi,100k-150k,21-40,1311.0
mitsubishi,100k-150k,40+,
mitsubishi,150k+,0-5,12050.0
mitsubishi,150k+,6-10,5904.0
mitsubishi,150k+,11-15,2643.0
mitsubishi,150k+,16-20,1204.0
mitsubishi,150k+,21-40,1572.0
mitsubishi,150k+,40+,
nissan,0-50k,0-5,14682.0
nissan,0-50k,6-10,8251.0
nissan,0-50k,11-15,4971.0
nissan,0-50k,16-20,5010.0
nissan,0-50k,21-40,1609.0
nissan,0-50k,40+,
nissan,50k-100k,0-5,13330.0
nissan,50k-100k,6-10,7779.0
